NUM;Fecha;0;1;2;3;4
241;2018-04-22 06:30:00;23.1916488223;23.0395721925;23.0578778135;23.0824411135;23.008583691
242;2018-04-22 07:00:00;23.0395721925;23.0578778135;23.0824411135;23.008583691;23.0450160772
243;2018-04-22 07:30:00;23.0578778135;23.0824411135;23.008583691;23.0450160772;23.0139335477
244;2018-04-22 08:00:00;23.0824411135;23.008583691;23.0450160772;23.0139335477;23.0075107296
245;2018-04-22 08:30:00;23.008583691;23.0450160772;23.0139335477;23.0075107296;23.0589496249
246;2018-04-22 09:00:00;23.0450160772;23.0139335477;23.0075107296;23.0589496249;23.0772532189
247;2018-04-22 09:30:00;23.0139335477;23.0075107296;23.0589496249;23.0772532189;23.0225321888
248;2018-04-22 10:00:00;23.0075107296;23.0589496249;23.0772532189;23.0225321888;23.2382478632
249;2018-04-22 10:30:00;23.0589496249;23.0772532189;23.0225321888;23.2382478632;23.1538461538
250;2018-04-22 11:00:00;23.0772532189;23.0225321888;23.2382478632;23.1538461538;23.0245464248
251;2018-04-22 11:30:00;23.0225321888;23.2382478632;23.1538461538;23.0245464248;23.0405549626
252;2018-04-22 12:00:00;23.2382478632;23.1538461538;23.0245464248;23.0405549626;23.0245726496
253;2018-04-22 12:30:00;23.1538461538;23.0245464248;23.0405549626;23.0245726496;23.0149094782
254;2018-04-22 13:00:00;23.0245464248;23.0405549626;23.0245726496;23.0149094782;23.0224358974
255;2018-04-22 13:30:00;23.0405549626;23.0245726496;23.0149094782;23.0224358974;23.0138445154
256;2018-04-22 14:00:00;23.0245726496;23.0149094782;23.0224358974;23.0138445154;23.0021367521
257;2018-04-22 14:30:00;23.0149094782;23.0224358974;23.0138445154;23.0021367521;23.0064034152
258;2018-04-22 15:00:00;23.0224358974;23.0138445154;23.0021367521;23.0064034152;23.0277777778
259;2018-04-22 15:30:00;23.0138445154;23.0021367521;23.0064034152;23.0277777778;23.0010672359
260;2018-04-22 16:00:00;23.0021367521;23.0064034152;23.0277777778;23.0010672359;23.0202991453
261;2018-04-22 16:30:00;23.0064034152;23.0277777778;23.0010672359;23.0202991453;23.0586353945
262;2018-04-22 17:00:00;23.0277777778;23.0010672359;23.0202991453;23.0586353945;23.090715048
263;2018-04-22 17:30:00;23.0010672359;23.0202991453;23.0586353945;23.090715048;23.0692963753
264;2018-04-22 18:00:00;23.0202991453;23.0586353945;23.090715048;23.0692963753;23.1302027748
265;2018-04-22 18:30:00;23.0586353945;23.090715048;23.0692963753;23.1302027748;23.1968085106
266;2018-04-22 19:00:00;23.090715048;23.0692963753;23.1302027748;23.1968085106;23.3707264957
267;2018-04-22 19:30:00;23.0692963753;23.1302027748;23.1968085106;23.3707264957;23.2579957356
268;2018-04-22 20:00:00;23.1302027748;23.1968085106;23.3707264957;23.2579957356;23.1463675214
269;2018-04-22 20:30:00;23.1968085106;23.3707264957;23.2579957356;23.1463675214;23.3062966916
